Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Mike Trout,Angels,159,681,29,123,100,30,17.00%,20.10%,0.235,0.371,0.315,0.441,0.55,0.418,170,9.6,67,4.3,9.6,10155
Mookie Betts,Red Sox,158,730,31,122,113,26,6.70%,11.00%,0.216,0.322,0.318,0.363,0.534,0.379,136,10.6,41.9,14,8.2,13611
Kris Bryant,Cubs,155,699,39,121,102,8,10.70%,22.00%,0.262,0.332,0.292,0.385,0.554,0.396,148,7.1,48.7,6.3,7.9,15429
Josh Donaldson,Blue Jays,155,700,37,122,99,7,15.60%,17.00%,0.265,0.3,0.284,0.404,0.549,0.403,157,0,47.6,2.7,7.5,5038
Corey Seager,Dodgers,157,687,26,105,72,3,7.90%,19.40%,0.204,0.355,0.308,0.365,0.512,0.372,136,2.4,32.8,13.4,7,13624
Jose Altuve,Astros,161,717,24,108,96,30,8.40%,9.80%,0.194,0.347,0.338,0.396,0.531,0.391,152,0.4,45.1,-3.1,6.8,5417
Manny Machado,Orioles,157,696,37,105,96,0,6.90%,17.20%,0.239,0.309,0.294,0.343,0.533,0.366,131,0.1,25.6,12.3,6.3,11493
Robinson Cano,Mariners,161,715,39,107,103,0,6.60%,14.00%,0.235,0.299,0.298,0.35,0.533,0.37,139,-2,31.2,5.8,6.2,3269
Brian Dozier,Twins,155,691,42,104,99,18,8.80%,20.00%,0.278,0.28,0.268,0.34,0.546,0.37,132,5.4,31.6,6,6.2,9810
Freddie Freeman,Braves,158,693,34,102,91,6,12.80%,24.70%,0.267,0.37,0.302,0.4,0.569,0.402,152,0.9,45.3,-7.1,6.2,5361
Adam Eaton,White Sox,157,706,14,91,59,14,8.90%,16.30%,0.144,0.329,0.284,0.362,0.428,0.344,117,4.5,18.9,14.4,5.8,11205
Daniel Murphy,Nationals,142,582,25,88,104,5,6.00%,9.80%,0.249,0.348,0.347,0.39,0.595,0.408,154,3.2,42.1,-5.4,5.7,4316
Christian Yelich,Marlins,155,659,21,78,98,9,10.90%,20.90%,0.185,0.356,0.298,0.376,0.483,0.367,134,2.3,29.8,2.5,5.5,11477
Francisco Lindor,Indians,158,684,15,99,78,19,8.30%,12.90%,0.134,0.324,0.301,0.358,0.435,0.34,109,0.8,8.6,21.6,5.4,12916
Adrian Beltre,Rangers,153,640,32,89,104,1,7.50%,10.30%,0.221,0.293,0.3,0.358,0.521,0.371,127,-1.1,19.9,11.5,5.4,639
Ian Kinsler,Tigers,153,679,28,117,83,14,6.60%,16.90%,0.196,0.314,0.288,0.348,0.484,0.356,124,3.9,23.5,5.9,5.3,6195
Brandon Crawford,Giants,155,623,12,67,84,7,9.10%,18.50%,0.156,0.322,0.275,0.342,0.43,0.327,105,3.6,7.1,24.8,5.3,5343
Joey Votto,Reds,158,677,29,101,97,8,16.00%,17.70%,0.225,0.366,0.326,0.434,0.55,0.413,158,-3,45,-15.4,5.2,4314
Jackie Bradley Jr.,Red Sox,156,636,26,94,87,9,9.90%,22.50%,0.219,0.312,0.267,0.349,0.486,0.354,118,5.1,19.1,10.5,5.2,12984
Kyle Seager,Mariners,158,676,30,89,99,3,10.20%,16.00%,0.221,0.295,0.278,0.359,0.499,0.363,134,-2.1,25.2,2.1,5.1,9785
Carlos Correa,Astros,153,660,20,76,96,13,11.40%,21.10%,0.177,0.328,0.274,0.361,0.451,0.349,123,3.8,22.4,5.4,5.1,14162
Jean Segura,Diamondbacks,153,694,20,102,64,33,5.60%,14.60%,0.181,0.353,0.319,0.368,0.499,0.371,126,5,27.4,0.3,5.1,5933
Nolan Arenado,Rockies,160,696,41,116,133,2,9.80%,14.80%,0.275,0.293,0.294,0.362,0.57,0.386,126,-0.9,21.7,5.7,5.1,9777
Justin Turner,Dodgers,151,622,27,79,90,4,7.70%,17.20%,0.218,0.293,0.275,0.339,0.493,0.353,123,0.2,17.9,11.1,5,5235
Paul Goldschmidt,Diamondbacks,158,705,24,106,95,32,15.60%,21.30%,0.192,0.358,0.297,0.411,0.489,0.382,133,5.2,34.2,-8.1,5,9218
George Springer,Astros,162,744,29,116,82,9,11.80%,23.90%,0.196,0.317,0.261,0.359,0.457,0.353,126,-0.3,23.1,0.2,4.9,12856
Anthony Rizzo,Cubs,155,676,32,94,109,3,10.90%,16.00%,0.252,0.309,0.292,0.385,0.544,0.391,145,-2.7,34.5,-8,4.9,3473
Dustin Pedroia,Red Sox,154,698,15,105,74,7,8.70%,10.50%,0.131,0.339,0.318,0.376,0.449,0.358,121,-4.3,13.3,11.1,4.9,8370
Xander Bogaerts,Red Sox,157,719,21,115,89,13,8.10%,17.10%,0.152,0.335,0.294,0.356,0.446,0.348,114,6,18,4.7,4.8,12161
Miguel Cabrera,Tigers,158,679,38,92,108,0,11.00%,17.10%,0.247,0.336,0.316,0.393,0.563,0.399,153,-9.6,33.6,-9.8,4.8,1744
Charlie Blackmon,Rockies,143,641,29,111,82,17,6.70%,15.90%,0.228,0.35,0.324,0.381,0.552,0.394,132,2.9,27.9,-1.9,4.7,7859
Jason Kipnis,Indians,156,688,23,91,82,15,8.70%,21.20%,0.193,0.324,0.275,0.343,0.469,0.347,114,0.8,12.5,10,4.7,9776
Jose Ramirez,Indians,152,618,11,84,76,22,7.10%,10.00%,0.15,0.333,0.312,0.363,0.462,0.355,119,8.6,22.9,1.6,4.6,13510
